Region,allen_name,allen_id,allen_acronym,Parent structure,Mid-level group,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,thalamic_group,thalamic_subdivision,count,normalized,source_sheet
Subparafascicular nucleus,Subparafascicular nucleus,406,SPF,Midbrain,Reticular / Miscellaneous,"Thalamus, sensory-motor cortex related",Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Subparafascicular nucleus,16,0.380905777972366,"brain1,brain8"
Subparaventricular zone,Subparaventricular zone,347,SBPV,Unknown,Unknown,Periventricular region,Brain stem,,False,True,,,8,0.36231884057971,brain4
Substantia innominata,Substantia innominata,342,SI,Striatum,Ventral striatum,"Pallidum, ventral region",Cerebrum,,False,True,,,102,3.3000290414075657,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Substantia nigra,"Substantia nigra, compact part",374,SNc,Midbrain,Dopaminergic nuclei,"Midbrain, behavioral state related",Brain stem,,False,True,,,29,0.491692099016616,brain1
Subthalamic nucleus,Subthalamic nucleus,470,STN,Unknown,Unknown,Hypothalamic lateral zone,Brain stem,,False,True,,,1,0.126582278481013,brain8
Superior colliculus,"Superior colliculus, sensory related",302,SCs,Midbrain,Colliculi,"Midbrain, sensory related",Brain stem,,False,True,,,12,0.203458799593082,brain1
Supplemental somatosensory area,Supplemental somatosensory area,378,SSs,Cortex,Somatosensory cortex,Somatosensory areas,Cerebrum,Isocortex,True,False,,,2673,65.30810322193936,"brain1,brain2,brain3,brain4,brain5,brain6,brain7,brain8,brain9"
Suprageniculate nucleus,Suprageniculate nucleus,325,SGN,Thalamus,Intralaminar thalamus,Lateral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,4,0.0678195998643608,brain1
Supramammillary nucleus,Supramammillary nucleus,525,SUM,Hypothalamus,Mammillary region,Mammillary body,Brain stem,,False,True,,,3,0.047857248544582204,"brain1,brain9"
Supraoptic nucleus,Supraoptic nucleus,390,SO,Hypothalamus,Lateral hypothalamus,Periventricular zone,Brain stem,,False,True,,,3,0.1084933870911145,"brain1,brain2,brain6"
